"Step","SAC_short_test_track - loss_actor","SAC_short_test_track - loss_actor__MIN","SAC_short_test_track - loss_actor__MAX"
"470","-2.3035541743","-2.3035541743","-2.3035541743"
"471","-2.3016494018","-2.3016494018","-2.3016494018"
"472","-2.2917497981","-2.2917497981","-2.2917497981"
"473","-2.3190930963","-2.3190930963","-2.3190930963"
"474","-2.3238618535","-2.3238618535","-2.3238618535"
"475","-2.3488107467","-2.3488107467","-2.3488107467"
"476","-2.3432722837","-2.3432722837","-2.3432722837"
"477","-2.3094503498","-2.3094503498","-2.3094503498"
"478","-2.2972249007","-2.2972249007","-2.2972249007"
"479","-2.3533996427","-2.3533996427","-2.3533996427"
"480","-2.3285819548","-2.3285819548","-2.3285819548"
"481","-2.3753765053","-2.3753765053","-2.3753765053"
"482","-2.3384169233","-2.3384169233","-2.3384169233"
"483","-2.3542174006","-2.3542174006","-2.3542174006"
"484","-2.3312812281","-2.3312812281","-2.3312812281"
"485","-2.3646552026","-2.3646552026","-2.3646552026"
"486","-2.3661417067","-2.3661417067","-2.3661417067"
"487","-2.3816834754","-2.3816834754","-2.3816834754"
"488","-2.3367311299","-2.3367311299","-2.3367311299"
"489","-2.3277912867","-2.3277912867","-2.3277912867"
"490","-2.3604873931","-2.3604873931","-2.3604873931"
"491","-2.3599196118","-2.3599196118","-2.3599196118"
