"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"429","148.2899998501","148.2899998501","148.2899998501"
"430","148.2899998501","148.2899998501","148.2899998501"
"431","148.2899997197","148.2899997197","148.2899997197"
"432","28.1199995857","28.1199995857","28.1199995857"
"433","41.4299996775","41.4299996775","41.4299996775"
"434","41.4299996775","41.4299996775","41.4299996775"
"435","39.9899997152","39.9899997152","39.9899997152"
"436","47.8499997742","47.8499997742","47.8499997742"
"437","15.3799998723","15.3799998723","15.3799998723"
"438","24.7199999448","24.7199999448","24.7199999448"
"439","45.319999665","45.319999665","45.319999665"
"440","148.2899997421","148.2899997421","148.2899997421"
"441","12.0299999397","12.0299999397","12.0299999397"
"442","148.2899998333","148.2899998333","148.2899998333"
"443","41.2899996676","41.2899996676","41.2899996676"
"444","41.2899996676","41.2899996676","41.2899996676"
"445","41.2399996538","41.2399996538","41.2399996538"
"446","34.6199997552","34.6199997552","34.6199997552"
"447","47.8899997473","47.8899997473","47.8899997473"
"448","47.8899997473","47.8899997473","47.8899997473"
"449","148.289999729","148.289999729","148.289999729"
"450","148.2799964044","148.2799964044","148.2799964044"
"451","148.289999852","148.289999852","148.289999852"
"452","31.5399999544","31.5399999544","31.5399999544"
"453","31.5399999544","31.5399999544","31.5399999544"
"454","40.9799995925","40.9799995925","40.9799995925"
"455","44.9699997008","44.9699997008","44.9699997008"
"456","9.5999999084","9.5999999084","9.5999999084"
"457","42.4899998736","42.4899998736","42.4899998736"
"458","12.9699998572","12.9699998572","12.9699998572"
"459","12.9699998572","12.9699998572","12.9699998572"
"460","48.0799998157","48.0799998157","48.0799998157"
"461","7.8499999456","7.8499999456","7.8499999456"
"462","35.9099998232","35.9099998232","35.9099998232"
"463","7.3999999799","7.3999999799","7.3999999799"
"464","12.1399998851","12.1399998851","12.1399998851"
"465","44.37999974","44.37999974","44.37999974"
"466","44.37999974","44.37999974","44.37999974"
"467","19.139999928","19.139999928","19.139999928"
"468","148.2899998538","148.2899998538","148.2899998538"
"469","7.8899999447","7.8899999447","7.8899999447"
"470","32.1899997443","32.1899997443","32.1899997443"
"471","30.8199997097","30.8199997097","30.8199997097"
"472","48.0999999233","48.0999999233","48.0999999233"
"473","148.2899998799","148.2899998799","148.2899998799"
"474","30.1599996723","30.1599996723","30.1599996723"
"475","30.1599996723","30.1599996723","30.1599996723"
"476","12.5499998666","12.5499998666","12.5499998666"
"477","7.1900000051","7.1900000051","7.1900000051"
"478","8.4899999201","8.4899999201","8.4899999201"
"479","7.9599999823","7.9599999823","7.9599999823"
"480","46.2799996547","46.2799996547","46.2799996547"
"481","13.2799998391","13.2799998391","13.2799998391"
"482","8.0500000902","8.0500000902","8.0500000902"
"483","31.0499997512","31.0499997512","31.0499997512"
"484","31.0499997512","31.0499997512","31.0499997512"
"485","34.0099995881","34.0099995881","34.0099995881"
"486","27.0699996315","27.0699996315","27.0699996315"
"487","33.3299996648","33.3299996648","33.3299996648"
"488","14.9599998537","14.9599998537","14.9599998537"
"489","14.9599998537","14.9599998537","14.9599998537"
"490","48.1599996779","48.1599996779","48.1599996779"
"491","148.2899998203","148.2899998203","148.2899998203"
"492","148.2899998203","148.2899998203","148.2899998203"
"493","29.3099996243","29.3099996243","29.3099996243"
"494","44.5899996478","44.5899996478","44.5899996478"
"495","46.209999742","46.209999742","46.209999742"
"496","16.8499998562","16.8499998562","16.8499998562"
"497","33.4899997041","33.4899997041","33.4899997041"
"498","14.1199999265","14.1199999265","14.1199999265"
"499","48.1899997685","48.1899997685","48.1899997685"
"500","45.7199997474","45.7199997474","45.7199997474"
"501","45.7199997474","45.7199997474","45.7199997474"
"502","47.9099997282","47.9099997282","47.9099997282"
"503","47.5199997686","47.5199997686","47.5199997686"
"504","30.7599995881","30.7599995881","30.7599995881"
"505","31.2199997138","31.2199997138","31.2199997138"
"506","31.2199997138","31.2199997138","31.2199997138"
"507","39.2099997699","39.2099997699","39.2099997699"
"508","47.3299997691","47.3299997691","47.3299997691"
"509","47.8099998031","47.8099998031","47.8099998031"
"510","47.8099998031","47.8099998031","47.8099998031"
"511","47.6599996872","47.6599996872","47.6599996872"
"512","16.8299999032","16.8299999032","16.8299999032"
"513","37.5199997481","37.5199997481","37.5199997481"
"514","37.5199997481","37.5199997481","37.5199997481"
"515","148.2899997663","148.2899997663","148.2899997663"
"516","148.2899998743","148.2899998743","148.2899998743"
"517","148.2899998743","148.2899998743","148.2899998743"
"518","148.2299984358","148.2299984358","148.2299984358"
"519","33.069999747","33.069999747","33.069999747"
"520","7.1200000141","7.1200000141","7.1200000141"
"521","36.6299997661","36.6299997661","36.6299997661"
"522","36.6299997661","36.6299997661","36.6299997661"
"523","148.2899998371","148.2899998371","148.2899998371"
"524","32.3899999317","32.3899999317","32.3899999317"
"525","148.2899997197","148.2899997197","148.2899997197"
"526","148.2899996974","148.2899996974","148.2899996974"
"527","148.2899999004","148.2899999004","148.2899999004"
"528","23.0999997258","23.0999997258","23.0999997258"
"529","14.0000000298","14.0000000298","14.0000000298"
"530","33.0799998324","33.0799998324","33.0799998324"
"531","148.2899997924","148.2899997924","148.2899997924"
"532","8.1899999864","8.1899999864","8.1899999864"
"533","8.1899999864","8.1899999864","8.1899999864"
"534","35.5099996421","35.5099996421","35.5099996421"
"535","14.7399999071","14.7399999071","14.7399999071"
"536","8.0599999037","8.0599999037","8.0599999037"
"537","8.0599999037","8.0599999037","8.0599999037"
"538","15.7899998762","15.7899998762","15.7899998762"
"539","15.6799999084","15.6799999084","15.6799999084"
"540","32.5599998981","32.5599998981","32.5599998981"
"541","148.2899997737","148.2899997737","148.2899997737"
"542","14.4099999741","14.4099999741","14.4099999741"
"543","148.2899997514","148.2899997514","148.2899997514"
"544","7.3200000059","7.3200000059","7.3200000059"
"545","148.2899998166","148.2899998166","148.2899998166"
"546","16.2599998862","16.2599998862","16.2599998862"
"547","16.2599998862","16.2599998862","16.2599998862"
"548","148.2899997197","148.2899997197","148.2899997197"
"549","148.2899998035","148.2899998035","148.2899998035"
"550","148.2899997849","148.2899997849","148.2899997849"
"551","148.2899997849","148.2899997849","148.2899997849"
"552","32.3499995563","32.3499995563","32.3499995563"
"553","148.2899997775","148.2899997775","148.2899997775"
