"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"458","0.2599999942","0.2599999942","0.2599999942"
"459","0.2999999933","0.2999999933","0.2999999933"
"460","1.1599999741","1.1599999741","1.1599999741"
"461","0.669999985","0.669999985","0.669999985"
"462","0.0299999993","0.0299999993","0.0299999993"
"463","0.0699999984","0.0699999984","0.0699999984"
"464","5.4099999126","5.4099999126","5.4099999126"
"465","0","0","0"
"466","0.0699999984","0.0699999984","0.0699999984"
"467","1.1699999738","1.1699999738","1.1699999738"
"468","1.7599999607","1.7599999607","1.7599999607"
"469","0","0","0"
"470","4.7599999011","4.7599999011","4.7599999011"
"471","0.1299999971","0.1299999971","0.1299999971"
"472","0.8799999803","0.8799999803","0.8799999803"
"473","0.1199999973","0.1199999973","0.1199999973"
"474","1.7899999656","1.7899999656","1.7899999656"
"475","1.1799999736","1.1799999736","1.1799999736"
"476","1.3699999694","1.3699999694","1.3699999694"
"477","2.0299999546","2.0299999546","2.0299999546"
"478","0.0699999984","0.0699999984","0.0699999984"
"479","1.8799999617","1.8799999617","1.8799999617"
"480","3.0199999474","3.0199999474","3.0199999474"
"481","0","0","0"
"482","0","0","0"
"483","3.1099999305","3.1099999305","3.1099999305"
"484","0.7899999823","0.7899999823","0.7899999823"
"485","1.8599999715","1.8599999715","1.8599999715"
"486","1.029999977","1.029999977","1.029999977"
"487","0.0799999982","0.0799999982","0.0799999982"
"488","1.2799999714","1.2799999714","1.2799999714"
"489","0","0","0"
"490","1.1399999745","1.1399999745","1.1399999745"
"491","2.839999944","2.839999944","2.839999944"
"492","1.4599999785","1.4599999785","1.4599999785"
"493","1.3199999705","1.3199999705","1.3199999705"
"494","0","0","0"
"495","1.1999999732","1.1999999732","1.1999999732"
"496","0.1299999971","0.1299999971","0.1299999971"
"497","0","0","0"
"498","2.8799999524","2.8799999524","2.8799999524"
"499","1.1099999752","1.1099999752","1.1099999752"
"500","3.549999943","3.549999943","3.549999943"
"501","0.0399999991","0.0399999991","0.0399999991"
"502","0","0","0"
"503","0.7999999821","0.7999999821","0.7999999821"
"504","2.2099999785","2.2099999785","2.2099999785"
"505","0.2199999951","0.2199999951","0.2199999951"
"506","0.3799999915","0.3799999915","0.3799999915"
