"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"354","0.1691080841","0.1691080841","0.1691080841"
"355","0.1666469743","0.1666469743","0.1666469743"
"356","0.1736519986","0.1736519986","0.1736519986"
"357","0.1948202562","0.1948202562","0.1948202562"
"358","0.1952386448","0.1952386448","0.1952386448"
"359","0.1891875339","0.1891875339","0.1891875339"
"360","0.1888981272","0.1888981272","0.1888981272"
"361","0.1747562776","0.1747562776","0.1747562776"
"362","0.2151479186","0.2151479186","0.2151479186"
"363","0.2000541817","0.2000541817","0.2000541817"
"364","0.1906376351","0.1906376351","0.1906376351"
"365","0.1890891459","0.1890891459","0.1890891459"
"366","0.1966915025","0.1966915025","0.1966915025"
"367","0.184511841","0.184511841","0.184511841"
"368","0.1838149606","0.1838149606","0.1838149606"
"369","0.185501567","0.185501567","0.185501567"
"370","0.1791160185","0.1791160185","0.1791160185"
"371","0.1752636209","0.1752636209","0.1752636209"
"372","0.210834285","0.210834285","0.210834285"
"373","0.2033673677","0.2033673677","0.2033673677"
"374","0.1962890505","0.1962890505","0.1962890505"
"375","0.2008468494","0.2008468494","0.2008468494"
"376","0.1925634572","0.1925634572","0.1925634572"
"377","0.2113406204","0.2113406204","0.2113406204"
"378","0.2067937915","0.2067937915","0.2067937915"
"379","0.1998734919","0.1998734919","0.1998734919"
"380","0.1953756266","0.1953756266","0.1953756266"
"381","0.2017451481","0.2017451481","0.2017451481"
"382","0.2189924562","0.2189924562","0.2189924562"
"383","0.2236451519","0.2236451519","0.2236451519"
"384","0.2221162661","0.2221162661","0.2221162661"
"385","0.2187406811","0.2187406811","0.2187406811"
"386","0.2123046945","0.2123046945","0.2123046945"
"387","0.2101776107","0.2101776107","0.2101776107"
"388","0.2043256411","0.2043256411","0.2043256411"
"389","0.220188805","0.220188805","0.220188805"
"390","0.2164959051","0.2164959051","0.2164959051"
"391","0.2130533829","0.2130533829","0.2130533829"
"392","0.2231563905","0.2231563905","0.2231563905"
"393","0.2309337296","0.2309337296","0.2309337296"
"394","0.2089503471","0.2089503471","0.2089503471"
"395","0.1984057641","0.1984057641","0.1984057641"
"396","0.203578844","0.203578844","0.203578844"
"397","0.2106654262","0.2106654262","0.2106654262"
"398","0.2156952924","0.2156952924","0.2156952924"
"399","0.2141620428","0.2141620428","0.2141620428"
"400","0.2094067669","0.2094067669","0.2094067669"
"401","0.206747219","0.206747219","0.206747219"
"402","0.209302409","0.209302409","0.209302409"
"403","0.2119359609","0.2119359609","0.2119359609"
"404","0.2124586474","0.2124586474","0.2124586474"
"405","0.2285265526","0.2285265526","0.2285265526"
"406","0.2207579396","0.2207579396","0.2207579396"
"407","0.2149560955","0.2149560955","0.2149560955"
"408","0.2214910386","0.2214910386","0.2214910386"
"409","0.2369514549","0.2369514549","0.2369514549"
"410","0.2181581618","0.2181581618","0.2181581618"
"411","0.2198281274","0.2198281274","0.2198281274"
"412","0.2241709489","0.2241709489","0.2241709489"
"413","0.2374447969","0.2374447969","0.2374447969"
"414","0.2433476233","0.2433476233","0.2433476233"
"415","0.2415672287","0.2415672287","0.2415672287"
"416","0.2621232184","0.2621232184","0.2621232184"
"417","0.2605083836","0.2605083836","0.2605083836"
"418","0.2872842319","0.2872842319","0.2872842319"
"419","0.2791638424","0.2791638424","0.2791638424"
"420","0.2611418869","0.2611418869","0.2611418869"
"421","0.2554309771","0.2554309771","0.2554309771"
"422","0.2645465913","0.2645465913","0.2645465913"
"423","0.2491376714","0.2491376714","0.2491376714"
"424","0.2502980655","0.2502980655","0.2502980655"
"425","0.2467674435","0.2467674435","0.2467674435"
"426","0.2849919182","0.2849919182","0.2849919182"
"427","0.2689604352","0.2689604352","0.2689604352"
"428","0.2610488665","0.2610488665","0.2610488665"
"429","0.2585481644","0.2585481644","0.2585481644"
"430","0.2663814878","0.2663814878","0.2663814878"
"431","0.2600600164","0.2600600164","0.2600600164"
"432","0.2651793152","0.2651793152","0.2651793152"
"433","0.2506265787","0.2506265787","0.2506265787"
"434","0.2993066134","0.2993066134","0.2993066134"
"435","0.267080106","0.267080106","0.267080106"
"436","0.2606273393","0.2606273393","0.2606273393"
"437","0.2691090862","0.2691090862","0.2691090862"
"438","0.2834755215","0.2834755215","0.2834755215"
