"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"369","-5.8983227539","-5.8983227539","-5.8983227539"
"370","-5.8987930989","-5.8987930989","-5.8987930989"
"371","-5.9393988585","-5.9393988585","-5.9393988585"
"372","-5.9519976568","-5.9519976568","-5.9519976568"
"373","-5.97180408","-5.97180408","-5.97180408"
"374","-5.9848723769","-5.9848723769","-5.9848723769"
"375","-5.9974534774","-5.9974534774","-5.9974534774"
"376","-6.0464043164","-6.0464043164","-6.0464043164"
"377","-6.0475438404","-6.0475438404","-6.0475438404"
"378","-6.0213306403","-6.0213306403","-6.0213306403"
"379","-6.058458693","-6.058458693","-6.058458693"
"380","-6.056997211","-6.056997211","-6.056997211"
"381","-6.0781078053","-6.0781078053","-6.0781078053"
"382","-6.1063715076","-6.1063715076","-6.1063715076"
"383","-6.1066221809","-6.1066221809","-6.1066221809"
"384","-6.1050591183","-6.1050591183","-6.1050591183"
"385","-6.1328397727","-6.1328397727","-6.1328397727"
"386","-6.1604936433","-6.1604936433","-6.1604936433"
"387","-6.1571082449","-6.1571082449","-6.1571082449"
"388","-6.1809193873","-6.1809193873","-6.1809193873"
"389","-6.2015029502","-6.2015029502","-6.2015029502"
"390","-6.2245275807","-6.2245275807","-6.2245275807"
"391","-6.2466364837","-6.2466364837","-6.2466364837"
"392","-6.2518745756","-6.2518745756","-6.2518745756"
"393","-6.2472583652","-6.2472583652","-6.2472583652"
"394","-6.2587558603","-6.2587558603","-6.2587558603"
"395","-6.2912042236","-6.2912042236","-6.2912042236"
"396","-6.2899650049","-6.2899650049","-6.2899650049"
"397","-6.3469092321","-6.3469092321","-6.3469092321"
"398","-6.3581757569","-6.3581757569","-6.3581757569"
"399","-6.3467137599","-6.3467137599","-6.3467137599"
"400","-6.3714791441","-6.3714791441","-6.3714791441"
"401","-6.4047857261","-6.4047857261","-6.4047857261"
"402","-6.4160515833","-6.4160515833","-6.4160515833"
"403","-6.4247800493","-6.4247800493","-6.4247800493"
"404","-6.4501305413","-6.4501305413","-6.4501305413"
"405","-6.4713760495","-6.4713760495","-6.4713760495"
"406","-6.4982303548","-6.4982303548","-6.4982303548"
"407","-6.5102981901","-6.5102981901","-6.5102981901"
"408","-6.527591753","-6.527591753","-6.527591753"
"409","-6.5514727759","-6.5514727759","-6.5514727759"
"410","-6.538753233","-6.538753233","-6.538753233"
"411","-6.5527417803","-6.5527417803","-6.5527417803"
"412","-6.5625789332","-6.5625789332","-6.5625789332"
"413","-6.5862177324","-6.5862177324","-6.5862177324"
"414","-6.6032709265","-6.6032709265","-6.6032709265"
"415","-6.6339278889","-6.6339278889","-6.6339278889"
"416","-6.642344439","-6.642344439","-6.642344439"
"417","-6.6550645423","-6.6550645423","-6.6550645423"
"418","-6.6529962111","-6.6529962111","-6.6529962111"
"419","-6.6672373533","-6.6672373533","-6.6672373533"
"420","-6.7167483377","-6.7167483377","-6.7167483377"
"421","-6.6927170706","-6.6927170706","-6.6927170706"
"422","-6.7312756824","-6.7312756824","-6.7312756824"
"423","-6.7502270174","-6.7502270174","-6.7502270174"
"424","-6.7472687864","-6.7472687864","-6.7472687864"
"425","-6.7946926188","-6.7946926188","-6.7946926188"
"426","-6.8209977007","-6.8209977007","-6.8209977007"
"427","-6.8364590812","-6.8364590812","-6.8364590812"
