"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"491","3.3899999671","3.3899999671","3.3899999671"
"492","3.3899999671","3.3899999671","3.3899999671"
"493","2.9799999706","2.9799999706","2.9799999706"
"494","2.9799999706","2.9799999706","2.9799999706"
"495","2.9799999706","2.9799999706","2.9799999706"
"496","2.9799999706","2.9799999706","2.9799999706"
"497","2.9799999706","2.9799999706","2.9799999706"
"498","2.9799999706","2.9799999706","2.9799999706"
"499","2.9799999706","2.9799999706","2.9799999706"
"500","2.9799999706","2.9799999706","2.9799999706"
"501","5.8536999497","5.8536999497","5.8536999497"
"502","21.5199998356","21.5199998356","21.5199998356"
"503","21.5199998356","21.5199998356","21.5199998356"
"504","1.3399999849","1.3399999849","1.3399999849"
"505","1.3399999849","1.3399999849","1.3399999849"
"506","1.3399999849","1.3399999849","1.3399999849"
"507","1.3399999849","1.3399999849","1.3399999849"
"508","6.1199999712","6.1199999712","6.1199999712"
"509","6.1199999712","6.1199999712","6.1199999712"
"510","6.1199999712","6.1199999712","6.1199999712"
"511","6.1199999712","6.1199999712","6.1199999712"
"512","8.7699999157","8.7699999157","8.7699999157"
"513","8.7699999157","8.7699999157","8.7699999157"
"514","1.8899999782","1.8899999782","1.8899999782"
"515","1.8899999782","1.8899999782","1.8899999782"
"516","1.8899999782","1.8899999782","1.8899999782"
"517","1.8899999782","1.8899999782","1.8899999782"
"518","1.8899999782","1.8899999782","1.8899999782"
"519","7.379999917","7.379999917","7.379999917"
"520","7.379999917","7.379999917","7.379999917"
"521","7.379999917","7.379999917","7.379999917"
"522","7.379999917","7.379999917","7.379999917"
"523","7.379999917","7.379999917","7.379999917"
"524","7.379999917","7.379999917","7.379999917"
"525","7.379999917","7.379999917","7.379999917"
"526","18.8399998862","18.8399998862","18.8399998862"
"527","18.8399998862","18.8399998862","18.8399998862"
"528","18.8399998862","18.8399998862","18.8399998862"
"529","18.8399998862","18.8399998862","18.8399998862"
"530","18.8399998862","18.8399998862","18.8399998862"
"531","18.8399998862","18.8399998862","18.8399998862"
"532","18.8399998862","18.8399998862","18.8399998862"
"533","18.8399998862","18.8399998862","18.8399998862"
"534","19.1770498844","19.1770498844","19.1770498844"
"535","28.469999833","28.469999833","28.469999833"
"536","28.469999833","28.469999833","28.469999833"
"537","28.469999833","28.469999833","28.469999833"
"538","28.469999833","28.469999833","28.469999833"
"539","28.469999833","28.469999833","28.469999833"
"540","28.469999833","28.469999833","28.469999833"
"541","28.469999833","28.469999833","28.469999833"
"542","16.7099999152","16.7099999152","16.7099999152"
"543","16.7099999152","16.7099999152","16.7099999152"
"544","16.7099999152","16.7099999152","16.7099999152"
"545","16.7099999152","16.7099999152","16.7099999152"
"546","16.7099999152","16.7099999152","16.7099999152"
"547","16.7099999152","16.7099999152","16.7099999152"
"548","16.7099999152","16.7099999152","16.7099999152"
"549","16.7099999152","16.7099999152","16.7099999152"
"550","17.8799998667","17.8799998667","17.8799998667"
"551","17.8799998667","17.8799998667","17.8799998667"
"552","17.8799998667","17.8799998667","17.8799998667"
"553","17.8799998667","17.8799998667","17.8799998667"
"554","17.8799998667","17.8799998667","17.8799998667"
"555","10.2999999132","10.2999999132","10.2999999132"
"556","10.2999999132","10.2999999132","10.2999999132"
"557","10.2999999132","10.2999999132","10.2999999132"
"558","4.2899999823","4.2899999823","4.2899999823"
"559","4.2899999823","4.2899999823","4.2899999823"
"560","4.2899999823","4.2899999823","4.2899999823"
"561","4.2899999823","4.2899999823","4.2899999823"
"562","10.9899999369","10.9899999369","10.9899999369"
"563","10.9899999369","10.9899999369","10.9899999369"
"564","10.9899999369","10.9899999369","10.9899999369"
"565","10.9899999369","10.9899999369","10.9899999369"
"566","10.9899999369","10.9899999369","10.9899999369"
"567","10.9899999369","10.9899999369","10.9899999369"
"568","10.9899999369","10.9899999369","10.9899999369"
"569","14.6799998432","14.6799998432","14.6799998432"
"570","14.6799998432","14.6799998432","14.6799998432"
"571","14.6799998432","14.6799998432","14.6799998432"
"572","14.6799998432","14.6799998432","14.6799998432"
"573","14.6799998432","14.6799998432","14.6799998432"
"574","11.6899999082","11.6899999082","11.6899999082"
"575","11.6899999082","11.6899999082","11.6899999082"
"576","1.7899999861","1.7899999861","1.7899999861"
"577","1.7899999861","1.7899999861","1.7899999861"
"578","1.8999999613","1.8999999613","1.8999999613"
"579","1.8999999613","1.8999999613","1.8999999613"
"580","1.8999999613","1.8999999613","1.8999999613"
"581","1.8999999613","1.8999999613","1.8999999613"
"582","6.4999999572","6.4999999572","6.4999999572"
"583","6.4999999572","6.4999999572","6.4999999572"
"584","6.4999999572","6.4999999572","6.4999999572"
"585","6.4999999572","6.4999999572","6.4999999572"
"586","6.4999999572","6.4999999572","6.4999999572"
"587","6.4999999572","6.4999999572","6.4999999572"
"588","6.4999999572","6.4999999572","6.4999999572"
"589","17.2399998792","17.2399998792","17.2399998792"
"590","17.2399998792","17.2399998792","17.2399998792"
"591","17.2399998792","17.2399998792","17.2399998792"
"592","6.7699999847","6.7699999847","6.7699999847"
"593","6.7699999847","6.7699999847","6.7699999847"
"594","6.7699999847","6.7699999847","6.7699999847"
"595","6.7699999847","6.7699999847","6.7699999847"
"596","6.7699999847","6.7699999847","6.7699999847"
"597","6.7699999847","6.7699999847","6.7699999847"
"598","6.7699999847","6.7699999847","6.7699999847"
"599","16.5399998184","16.5399998184","16.5399998184"
"600","16.5399998184","16.5399998184","16.5399998184"
"601","16.5399998184","16.5399998184","16.5399998184"
"602","16.5399998184","16.5399998184","16.5399998184"
"603","16.5399998184","16.5399998184","16.5399998184"
"604","8.8399999123","8.8399999123","8.8399999123"
"605","8.8399999123","8.8399999123","8.8399999123"
"606","8.8399999123","8.8399999123","8.8399999123"
"607","6.3099999689","6.3099999689","6.3099999689"
"608","6.3099999689","6.3099999689","6.3099999689"
"609","6.3099999689","6.3099999689","6.3099999689"
"610","6.3099999689","6.3099999689","6.3099999689"
"611","6.3099999689","6.3099999689","6.3099999689"
"612","6.3099999689","6.3099999689","6.3099999689"
"613","6.3099999689","6.3099999689","6.3099999689"
"614","6.3099999689","6.3099999689","6.3099999689"
"615","19.569999883","19.569999883","19.569999883"
